region,location,num_of_rooms,size,fee,final_price,initial_price,year_built,mgmt_cost
Stockholm,Midsommarkransen,2,35,2235,2710000,2195000,1940,3480
Stockholm,Stockholm,2,59.5,3340,4300000,3995000,2006,4188
Stockholm,Enskede,4.5,94,5943,4350000,3700000,2009,9000
Solna,Råsunda,3,67,4036,3550000,3550000,2007,4188
Stockholm,Aspudden,1,34.5,2028,2700000,2250000,1939,4188
Stockholm,Årsta,2,55,3848,3180000,2395000,1947,4188
Sundbyberg,Sundbybergcentrum,3,50,2951,3230000,2795000,1945,5256
Stockholm,Bandhagen,3,76,4306,2985000,2595000,1952,6276
Stockholm,Vasastan,2,29,1148,3230000,2995000,1968,4200
Stockholm,Katarina,3,75,4247,7800000,6250000,1927,4200
Stockholm,Hammarbyhöjden,3,68,4193,4550000,3495000,1939,5400
Stockholm,Södermalm,4,112,4820,8850000,8475000,1941,8262
Stockholm,Gärdet,1,25,1538,2890000,2890000,1938,8262
Stockholm,Vällingby,1,26,1581,1700000,1495000,1954,1500
Stockholm,Akalla,3,79,4574,2100000,1950000,1975,1500
Nacka,Alphyddan,3,75.5,3716,3550000,2995000,1975,5160
Stockholm,Bromma,3,81,4853,3720000,3395000,2012,5160
Solna,Råsunda,2,40,2498,2800000,2395000,1940,5160
Solna,Huvudsta,1,36,1786,2620000,2295000,1970,5160
Sundbyberg,Ursvik,2,55,3312,2220000,2295000,2013,5160
Solna,Råsunda,2,48,3035,3060000,2795000,1944,4200
Stockholm,Södermalm,2.5,56,1834,4325000,3995000,1965,4200
Solna,Frösunda,2,46,2712,3010000,2495000,2006,4860
Stockholm,Södermalm,3,78,2937,6900000,6475000,1913,11160
Stockholm,Södermalm,1,23,1211,2650000,2195000,1929,4800
Stockholm,StoraEssingen,3,106,5570,7395000,7395000,1929,4800
Solna,HagaNorra,2,46,2666,2935000,2495000,1999,3672
Stockholm,Gröndal,2,62,4038,2770000,2495000,1990,7100
Nacka,Henriksdal,2,46,2300,2290000,1995000,1971,2916
Stockholm,Bromma,4,101,5804,2800000,2495000,1995,6800
Sundbyberg,Sundbyberg,2,62,4383,2900000,2900000,1940,4350
