region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Stockholm,1163,2,41,2140,4525000,3795000,1939
Stockholm,1793,1,28.7,1665,2040000,1895000,1945
Stockholm,1688,2.5,51,3494,2400000,2195000,1943
Nacka,1691,4,87.8,6564,3570000,3495000,1957
Stockholm,1196,2,36,1888,3320000,2895000,1930
Nacka,1691,2,48,2398,2400000,2375000,1977
Stockholm,1240,3,54.5,3893,3200000,2795000,1943
Stockholm,1091,2,38,2939,2660000,2275000,1936
Solna,831,2,38,2189,2895000,2495000,1939
Stockholm,763,2,47,1595,3850000,3495000,1930
Stockholm,1827,3,81.5,4068,3945000,3945000,2010
Stockholm,1344,4.5,94,5943,4350000,3700000,2009
Solna,939,3,67,4036,3550000,3550000,2007
Stockholm,872,1,34.5,2028,2700000,2250000,1939
Stockholm,946,2,55,3848,3180000,2395000,1947
Sundbyberg,360,3,50,2951,3230000,2795000,1945
Stockholm,1763,1,47,2982,2200000,2200000,2015
Stockholm,1523,3,76,4306,2985000,2595000,1952
Stockholm,713,2,29,1148,3230000,2995000,1968
Stockholm,628,3,75,4247,7800000,6250000,1927
Stockholm,1104,3,68,4193,4550000,3495000,1939
Stockholm,644,4,112,4820,8850000,8475000,1941
Stockholm,685,1,25,1538,2890000,2890000,1938
Stockholm,2189,1,26,1581,1700000,1495000,1954
Stockholm,1658,3,79,4574,2100000,1950000,1975
Nacka,1313,3,75.5,3716,3550000,2995000,1975
Stockholm,1771,3,81,4853,3720000,3395000,2012
Solna,2017,2,40,2498,2800000,2395000,1940
Solna,856,1,36,1786,2620000,2295000,1970
Sundbyberg,1952,2,55,3312,2220000,2295000,2013
Stockholm,656,2,37,1577,3530000,2995000,1963
Solna,1091,2,48,3035,3060000,2795000,1944
Stockholm,587,2.5,56,1834,4325000,3995000,1965
Solna,1171,2,46,2712,3010000,2495000,2006
Stockholm,608,3,78,2937,6900000,6475000,1913
Stockholm,627,1,23,1211,2650000,2195000,1929
Stockholm,1673,3,106,5570,7395000,7395000,1929
Solna,948,2,46,2666,2935000,2495000,1999
Stockholm,1641,2,62,4038,2770000,2495000,1990
Nacka,1237,2,46,2300,2290000,1995000,1971
Stockholm,2538,4,101,5804,2800000,2495000,1995
