region,location,street_address,num_of_rooms,size,fee,final_price,initial_price,year_built
Solna,Vireberg,"Virebergsvägen 9, 9 tr",3,75.5 ,1957,4200000,3695000,1957
Stockholm,Midsommarkransen,Flygelgatan 4,2,45.3 ,3139,2500000,2095000,2012
Stockholm,Årsta,"Glindragränd 3, vån 5/5",5,114 ,6024,6220000,6150000,2016
Stockholm,Örnsberg,"Hägerstensvägen 209, vån 2/3",2,41 ,3445,2560000,1995000,1939
Sundbyberg,Ursvik,Grönlingens väg 2,2,44 ,2698,2200000,1995000,2012
Stockholm,Östermalm,"Kommendörsgatan 33A, 5tr",1,18 ,984,2900000,2495000,1929
Nacka,Orminge,Ormingeringen 70,1.5,37 ,2700,1670000,1495000,1929
Sundbyberg,Ör,Kavaljersbacken 10,2,71.5 ,2698,2440000,2500000,1929
Solna,Huvudsta,Släggbacken 2,6,153 ,7846,4750000,4395000,1965
Stockholm,Hagsätra,Lerbäcksgränd 10,2,60 ,3817,1850000,1695000,1956
Sollentuna,Kärrdal,Lomvägen 641,1.5,42.5 ,2410,1730000,1690000,1974
Stockholm,Hornstull,Liljeholmsbron 8,1.5,44 ,2462,3500000,3250000,1974
Stockholm,HammarbySjöstad,"Hammarby allé 157, pl 7",3,74 ,4643,4500000,4295000,2003
Stockholm,Kista,Langelandsgatan 43,3,76.5 ,4401,2400000,2095000,1979
Stockholm,Traneberg,Hallebergsvägen 22,3,74 ,3996,4900000,4495000,1938
Stockholm,Vällingby,Mörsilsgatan 6,2,29 ,1977,1700000,1495000,1955
Stockholm,Traneberg,Nipfjällsvägen 8,3,62 ,2681,3900000,3395000,1984
Stockholm,Bagarmossen,Emågatan 37,2,57 ,3501,2700000,2250000,1954
Stockholm,Vällingby,"Jämtlandsgatan 107, Vån 3 (11031)",2,66 ,3493,3000000,2795000,2019
Nacka,Nacka,Skarpövägen 31,4,81 ,5530,2300000,2095000,2019
Stockholm,Östermalm,Grevgatan 12,2,78 ,3226,9000000,7995000,1939
Stockholm,Sätra,Kungssätravägen 8,3,77 ,5099,2250000,1990000,1965
Stockholm,Hornstull,"Heleneborgsgatan 15 B, 5 tr",2,54 ,3608,5650000,4650000,1911
Stockholm,Vasastan,Upplandsgatan 67,3,77 ,3760,9000000,9000000,1901
Stockholm,Katarina,Ringvägen 131,4,88 ,4473,7900000,6995000,1928
Stockholm,Vällingby,"Råckstavägen 25, Vån 4",3,84 ,4509,2880000,2750000,2009
Sollentuna,Edsberg,Kruthornsvägen 22,1,33 ,2874,1550000,1495000,1962
Stockholm,Gröndal,Ormbergsvägen 7,3,68 ,3890,4800000,4295000,1947
Stockholm,Bromma,Enhörningsgränd 6,3.5,85 ,5535,5030000,4995000,2003
Stockholm,Kungsholmen,Jaktvarvsplan 3,2,37 ,2270,3650000,2895000,1931
Solna,Järvastaden,Dammtorps Allé 12,4,92 ,4765,4700000,4450000,2013
Stockholm,Midsommarkransen,"Bäckvägen 48, 3tr",3,61 ,3204,4500000,3495000,1943
Stockholm,Midsommarkransen,Cedergrensvägen 36,2,35 ,2235,2710000,2195000,1940
Stockholm,Stockholm,Ulriksborgsgatan 9 Lgh 1703,2,59.5 ,3340,4300000,3995000,2006
Nacka,Finnberget,Finnbergsvägen 68,2,66 ,3929,3100000,2750000,2006
Stockholm,Stockholm,"Storskärsgatan 5, 4 tr",2.5,76 ,3578,7050000,6950000,1935
Stockholm,Södermalm,Wollmar Yxkullsgatan 52B,1.5,38 ,2170,3210000,2995000,1935
Stockholm,Åkeshov,Snörmakarvägen 3,2,42 ,3750,2310000,1995000,1942
Stockholm,NorraDjurgårdsstaden,"Madängsgatan 22, Vån 5",2,52 ,3324,3900000,3995000,2014
Solna,Hagalund,"Hagalundsgatan 10, 1 tr",2,59 ,2915,2720000,2495000,1973
Stockholm,Kungsholmen,"Kellgrensgatan 10, 6 tr",2,53.5 ,3473,4150000,3995000,2015
Stockholm,Aspudden,Hertigvägen 2,3,70 ,4133,4800000,3995000,1948
Stockholm,Farsta,Rottnerosbacken 3,2,46 ,2787,2250000,1795000,2015
Sollentuna,Rotebro,Timotejvägen 10,3,73.5 ,4470,1770000,1800000,1974
Stockholm,Stureby,Bjulevägen 26B,1.5,35 ,2821,1950000,1495000,1949
Stockholm,Skarpnäck,"Segelflygsgatan 37, 3tr",4,101.5 ,6802,3830000,3095000,1985
Stockholm,Östermalm,"Rindögatan 19, 7 tr",2,41 ,2140,4525000,3795000,1939
Stockholm,Johannesfred,Ståltrådsvägen 44,1,28.7 ,1665,2040000,1895000,1945
Stockholm,Telefonplan,Hökmossevägen 68,2.5,51 ,3494,2400000,2195000,1943
Nacka,Ekudden,"Ekuddsvägen 2, 4 tr",4,87.8 ,6564,3570000,3495000,1957
Stockholm,Sofia,"Borgmästargatan 9, 3 tr ",2,36 ,1888,3320000,2895000,1930
Nacka,Finntorp,Blomstervägen 40,2,48 ,2398,2400000,2375000,1977
Stockholm,Midsommarkransen,Kyndelsmässogränd 12,3,54.5 ,3893,3200000,2795000,1943
Stockholm,Björkhagen,Skanörvägen 5,3,67.5 ,3806,3800000,3495000,1949
Stockholm,Bromma,Kinnekullevägen 32 3tr,2,38 ,2939,2660000,2275000,1936
Solna,Solna,Gustafsvägen 8,2,38 ,2189,2895000,2495000,1939
Stockholm,Södermalm,Bastugatan 25,2,47 ,1595,3850000,3495000,1930
Stockholm,Stockholm,Krakel Spektakels gata 3,3,81.5 ,4068,3945000,3945000,2010
Stockholm,Enskede,Lingvägen 122,4.5,94 ,5943,4350000,3700000,2009
Solna,Råsunda,Mauritz Stillers väg 3,3,67 ,4036,3550000,3550000,2007
Stockholm,Aspudden,"Pilgrimsvägen 54 A, vån 2",1,34.5 ,2028,2700000,2250000,1939
Stockholm,Årsta,"Siljansvägen 74, vån 7/7",2,55 ,3848,3180000,2395000,1947
